ts,mmsi,longitude,latitude,is_menifot,sog,cog,heading
2024-04-01 15:52:31,255806067,33.038865,34.65445,NO,12.3,66.9,65
2024-04-02 3:09:47,255806067,35.490812,33.818275,YES,0,153.434949,165
2024-04-01 2:59:38,255806067,33.021942,34.64874,NO,2.2,249.6,277
2024-04-01 22:25:57,255806067,33.487612,33.260478,NO,12.9,169.7,171
2024-04-01 9:53:27,255806067,35.490788,33.818257,YES,4.3,222.1,89
2024-04-02 0:34:27,255806067,35.490827,33.818268,YES,0,53.130102,166
2024-04-01 15:43:41,255806067,33.018085,34.647493,NO,5,73.1,68
2024-04-01 3:18:46,255806067,33.013142,34.64771,NO,0.2,0.1,89
2024-04-01 16:07:02,255806067,33.088225,34.626972,NO,12.5,153.1,159
2024-04-01 2:32:08,255806067,33.057167,34.65127,NO,4.4,330.1,331
2024-04-01 4:22:28,255806067,35.490802,33.818285,YES,0,0.1,89
2024-04-01 17:01:38,255806067,33.147558,34.428,NO,13.3,168.4,168
2024-04-01 15:49:21,255806067,33.028783,34.650857,NO,7.2,67.4,66
2024-04-01 0:59:58,255806067,33.025503,34.500007,NO,8.8,90,87
2024-04-01 2:40:17,255806067,33.050768,34.656285,NO,4.6,271.6,268
2024-04-01 18:39:20,255806067,33.240182,34.06257,NO,13.4,160.5,166
2024-04-01 15:50:12,255806067,33.031013,34.651637,NO,9.1,67.1,65
2024-04-01 2:39:06,255806067,33.05236,34.656195,NO,3.3,280.5,272
2024-04-02 1:35:51,255806067,35.490452,33.814983,YES,7.7,5.7,166
2024-04-02 3:02:06,255806067,35.49081,33.818273,YES,0,180,166
2024-04-01 1:30:07,255806067,33.094653,34.526705,NO,8.3,21.3,18
2024-04-01 15:41:11,255806067,33.014495,34.647155,NO,3.2,98.3,86
2024-04-01 18:10:52,255806067,33.21966,34.177318,NO,13.3,168.6,168
2024-04-01 16:35:09,255806067,33.12047,34.52661,NO,13.6,166.6,167
2024-04-02 1:33:01,255806067,35.490798,33.818265,YES,0,153.434949,167
2024-04-01 19:08:22,255806067,33.281068,33.967237,NO,13.6,166.5,167
2024-04-01 17:40:07,255806067,33.185723,34.288647,NO,13.4,162.6,164
2024-04-01 8:09:37,255806067,35.490827,33.818243,YES,4.1,0.1,88
2024-04-01 9:37:38,255806067,35.490805,33.818272,YES,0,0.1,89
2024-04-01 16:10:27,255806067,33.093257,34.615515,NO,13.3,160.2,161
2024-04-01 23:58:36,255806067,35.4908,33.81825,YES,0,0.1,166
2024-04-01 9:55:21,255806067,35.490788,33.818278,YES,0,189.462322,89
2024-04-01 22:11:16,255806067,33.473688,33.311915,NO,12.8,163.3,166
2024-04-01 12:05:39,255806067,33.013005,34.647843,NO,0,90,88
2024-04-01 15:55:29,255806067,33.050588,34.656427,NO,12,114.7,129
2024-04-01 20:49:51,255806067,33.38339,33.598093,NO,13.3,162.8,162
2024-04-01 2:12:36,255806067,33.080408,34.619397,NO,8.6,329.8,331
2024-04-01 17:44:58,255806067,33.192223,34.271347,NO,13.5,167,166
2024-04-01 1:50:08,255806067,33.113693,34.572147,NO,8.4,354.9,342
2024-04-01 15:34:57,255806067,33.013123,34.6478,NO,0,0.1,89
2024-04-01 21:57:25,255806067,33.457425,33.359627,NO,12.9,164.6,165
2024-04-01 15:54:52,255806067,33.048445,34.65698,NO,12.6,93.6,110
2024-04-01 16:23:44,255806067,33.108952,34.567957,NO,13.2,167.6,168
2024-04-01 2:51:18,255806067,33.032277,34.652432,NO,4.7,244.9,246
2024-04-01 2:35:47,255806067,33.054843,34.654697,NO,3.3,330.1,310
2024-04-01 22:40:35,255806067,33.499708,33.208747,NO,12.9,167.9,171
2024-04-01 3:25:30,255806067,35.490812,33.818255,YES,0,90,89
2024-04-01 20:33:07,255806067,33.364668,33.658143,NO,13,165.4,168
2024-04-01 20:11:49,255806067,33.346832,33.7353,NO,13.4,167,169
2024-04-01 20:31:56,255806067,33.363337,33.66236,NO,36.2,196.6,170
2024-04-01 1:51:47,255806067,33.111837,34.575608,NO,8.4,326.2,327
2024-04-01 23:36:36,255806067,33.553902,33.012063,NO,12.9,166.9,166
2024-04-01 17:44:41,255806067,33.191667,34.27236,NO,34.5,280.8,161
2024-04-01 8:42:48,255806067,35.49083,33.818292,YES,0,117.552812,89
2024-04-01 6:16:35,255806067,35.490807,33.81827,YES,0,0.1,88
2024-04-01 18:28:12,255806067,33.234438,34.114152,NO,13.1,168.8,168
2024-04-01 11:23:50,255806067,33.01305,34.6478,NO,0,317.726311,89
2024-04-01 21:03:46,255806067,33.399965,33.548678,NO,13.2,164.1,163
2024-04-01 7:11:37,255806067,35.490795,33.818268,YES,0,36.869898,89
2024-04-01 20:01:50,255806067,33.335452,33.77145,NO,13.5,165.4,165
2024-04-01 16:08:12,255806067,33.090025,34.623217,NO,12.8,158.5,160
2024-04-01 14:40:10,255806067,33.01311,34.647697,NO,0,3.576334,89
2024-04-01 23:45:25,255806067,33.564395,32.980242,NO,19.7,161.1,166
2024-04-02 2:56:16,255806067,33.720802,32.344468,NO,12,166.5,162
2024-04-01 18:24:33,255806067,35.490793,33.818267,YES,0,135,168
2024-04-01 20:49:02,255806067,33.37655,33.58184,NO,36.9,184.7,163
2024-04-01 2:24:45,255806067,33.06417,34.641565,NO,6.3,328.9,330
2024-04-01 0:18:50,255806067,32.904607,34.499703,NO,8.6,90,89
2024-04-01 23:27:53,255806067,33.544137,33.04217,NO,12.8,167.2,169
2024-04-01 16:47:56,255806067,33.13421,34.47907,NO,13.8,168,168
2024-04-01 2:36:56,255806067,33.054128,34.655502,NO,2.8,317.1,291
2024-04-01 23:45:32,255806067,33.563553,32.981162,NO,12.9,164.9,166
2024-04-01 1:50:16,255806067,33.113647,34.57248,NO,8.4,352.4,339
2024-04-01 19:21:22,255806067,33.29438,33.919442,NO,13.4,167.6,167
2024-04-01 5:19:01,255806067,35.490803,33.818238,YES,0,0,83
2024-04-01 19:48:15,255806067,33.321483,33.82111,NO,13.2,167,167
2024-04-01 12:44:01,255806067,33.013177,34.647858,NO,0,0.1,89
2024-04-01 16:34:55,255806067,33.117758,34.523498,NO,25.6,180,168
2024-04-01 18:22:14,255806067,35.490792,33.818265,YES,0,180,168
2024-04-01 20:46:19,255806067,33.378915,33.610698,NO,13.5,163,161
2024-04-01 23:57:17,255806067,33.575248,32.940498,NO,12.5,166.1,166
2024-04-01 15:40:22,255806067,33.01373,34.647283,NO,2.3,109.3,92
2024-04-01 19:34:33,255806067,33.307433,33.871185,NO,13.5,167.1,167
2024-04-01 10:49:40,255806067,35.490793,33.818282,YES,0,258.690068,89
2024-04-01 2:42:26,255806067,33.04677,34.656273,NO,5.8,270,261
2024-04-01 0:00:29,255806067,32.84521,34.500935,NO,10.8,90,90
2024-04-01 3:14:17,255806067,33.01388,34.647307,NO,1.5,284.3,90
2024-04-01 0:39:38,255806067,32.965017,34.499277,NO,8.5,90,88
2024-04-01 20:24:59,255806067,33.357965,33.687553,NO,13.3,168.3,170
2024-04-01 17:58:21,255806067,33.207603,34.223243,NO,13.3,167.2,168
2024-04-02 2:36:27,255806067,35.490808,33.818263,YES,0,129.782437,162
2024-04-01 2:57:47,255806067,33.023613,34.649238,NO,3.3,246.6,257
2024-04-02 1:37:51,255806067,35.490805,33.818277,YES,0,0.1,165
2024-04-01 1:18:36,255806067,33.079255,34.503738,NO,8.1,47.5,33
2024-04-01 18:55:02,255806067,33.264753,34.016105,NO,13.7,163.6,163
2024-04-01 17:26:19,255806067,33.16997,34.338455,NO,13.3,169.2,166
2024-04-01 16:10:18,255806067,33.086815,34.619258,NO,23.9,196.9,161
2024-04-01 13:41:25,255806067,33.013147,34.647825,NO,0.2,0.1,89
2024-04-01 23:30:20,255806067,33.54713,33.033598,NO,46.4,309.8,161
2024-04-01 8:12:17,255806067,35.490827,33.818272,YES,0,129.289407,89